,Suburb,Rooms,Type,Price,Method,SellerG,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Regionname,Propertycount
0,Abbotsford,2,h,1480000.0,S,Biggin,2.5,3067.0,2.0,1.0,1.0,202.0,151.22021949239888,1965.8799955347176,-37.7996,144.9984,Northern Metropolitan,4019.0
1,Abbotsford,2,h,1035000.0,S,Biggin,2.5,3067.0,2.0,1.0,0.0,156.0,79.0,1900.0,-37.8079,144.9934,Northern Metropolitan,4019.0
2,Abbotsford,3,h,1465000.0,SP,Biggin,2.5,3067.0,3.0,2.0,0.0,134.0,150.0,1900.0,-37.8093,144.9944,Northern Metropolitan,4019.0
3,Abbotsford,3,h,850000.0,PI,Biggin,2.5,3067.0,3.0,2.0,1.0,94.0,151.22021949239888,1965.8799955347176,-37.7969,144.9969,Northern Metropolitan,4019.0
4,Abbotsford,4,h,1600000.0,VB,Nelson,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,-37.8072,144.9941,Northern Metropolitan,4019.0
5,Abbotsford,2,h,941000.0,S,Jellis,2.5,3067.0,2.0,1.0,0.0,181.0,151.22021949239888,1965.8799955347176,-37.8041,144.9953,Northern Metropolitan,4019.0
6,Abbotsford,3,h,1876000.0,S,Nelson,2.5,3067.0,4.0,2.0,0.0,245.0,210.0,1910.0,-37.8024,144.9993,Northern Metropolitan,4019.0
7,Abbotsford,2,h,1636000.0,S,Nelson,2.5,3067.0,2.0,1.0,2.0,256.0,107.0,1890.0,-37.806,144.9954,Northern Metropolitan,4019.0
8,Abbotsford,3,h,1000000.0,S,Jellis,2.5,3067.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Northern Metropolitan,4019.0
9,Abbotsford,2,t,745000.0,S,Jellis,2.5,3067.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Northern Metropolitan,4019.0
10,Abbotsford,1,u,300000.0,S,Biggin,2.5,3067.0,1.0,1.0,1.0,0.0,151.22021949239888,1965.8799955347176,-37.8008,144.9973,Northern Metropolitan,4019.0
11,Abbotsford,2,h,1097000.0,S,Biggin,2.5,3067.0,3.0,1.0,2.0,220.0,75.0,1900.0,-37.801,144.9989,Northern Metropolitan,4019.0
12,Abbotsford,2,u,542000.0,S,Dingle,2.5,3067.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Northern Metropolitan,4019.0
13,Abbotsford,2,u,760000.0,SP,Biggin,2.5,3067.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Northern Metropolitan,4019.0
14,Abbotsford,1,u,481000.0,SP,Purplebricks,2.5,3067.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Northern Metropolitan,4019.0
15,Abbotsford,2,u,700000.0,VB,Jellis,2.5,3067.0,2.0,2.0,1.0,0.0,151.22021949239888,1965.8799955347176,-37.811,145.0067,Northern Metropolitan,4019.0
16,Abbotsford,3,h,1350000.0,VB,Nelson,2.5,3067.0,3.0,2.0,2.0,214.0,190.0,2005.0,-37.8085,144.9964,Northern Metropolitan,4019.0
17,Abbotsford,2,u,750000.0,S,Biggin,2.5,3067.0,2.0,2.0,1.0,0.0,94.0,2009.0,-37.8078,144.9965,Northern Metropolitan,4019.0
18,Abbotsford,4,h,1985000.0,S,Biggin,2.5,3067.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.8084,144.9942,Northern Metropolitan,4019.0
19,Abbotsford,1,u,500000.0,S,Biggin,2.5,3067.0,0.0,0.0,0.0,558.1163713886642,151.22021949239888,1965.8799955347176,-37.809849065321295,144.99633776420606,Northern Metropolitan,4019.0
20,Abbotsford,2,h,1172500.0,S,Biggin,2.5,3067.0,2.0,1.0,1.0,195.0,151.22021949239888,1965.8799955347176,-37.8084,144.9973,Northern Metropolitan,4019.0
